,Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
67995,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,MD,02 - Automobile,2001.0,TOYT,2S,BLACK,13411a,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
61859,DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPSWHILE OPERATING WINDSHIELD WIPERS,No,No,No,No,No,NJ,02 - Automobile,2017.0,HYUN,SONATA 4S,SILVER,222012,No,WHITE,M,ELYRIA,OH,OH,A - Marked Patrol,Warning
58405,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2015.0,MITSUBISHI,OUTLANDER,BLACK,13409b,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
40610,MOTOR VEH MFR AFTER JUNE 1 1971 WO ADEQUATE TAIL LAMPS RIGHT LAMP,No,No,No,No,No,WV,02 - Automobile,2004.0,HONDA,CIVIC,SILVER,22204a,No,WHITE,M,FALLING WATERS,WV,WV,B - Unmarked Patrol,Warning
32235,EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2007.0,MERZ,SW,GRAY,218011,No,WHITE,M,DARNESTOWN,MD,MD,A - Marked Patrol,Citation
60138,UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,No,No,No,No,No,MD,02 - Automobile,2007.0,NISSAN,ALTIMA,BLUE,13703g,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
4330,FAILURE TO STOP AT STOP SIGN,No,No,No,No,No,MD,02 - Automobile,2003.0,TOYOTA,COROLLA,RED,21707a,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
7805,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,Yes,No,VA,02 - Automobile,2003.0,LANDROVER,RANGE ROVER,BLACK,16101a,No,BLACK,M,NEW CASTLE,DE,XX,A - Marked Patrol,Citation
68104,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,FOCUS,GREEN DK,13409b,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
16448,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2006.0,CHEVY,IMPALA,WHITE,22226a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
68795,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2015.0,HOND,ACCORD SPORT,BLACK,22226a,No,HISPANIC,M,OXON HILL,MD,MD,A - Marked Patrol,Warning
53725,DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,1996.0,CHEV,TRK,BLUE,21204d,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,Warning
20153,DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2013.0,HYUNDAI,ELANTRA,BLACK,21402a,Yes,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,Citation
4297,ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY MEANS OTHER THAN FAIL TO STOP AND FLEEING ON FOOT,No,No,No,No,No,MD,02 - Automobile,2004.0,CHEV,TAHOE,BLACK,21904b3,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
62186,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2010.0,FORD,MUSTANG,RED,13409b,No,WHITE,M,FREDERICK,MD,MD,G - Marked Moving Radar (Stationary),Warning
18446,WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,No,No,No,No,No,DC,04 - Limousine,2009.0,GMC,SIERRA PKTK,SILVER,21804a,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
49915,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,VA,02 - Automobile,2010.0,HONDA,CIVIC,WHITE,13411d,No,WHITE,F,FREDERICK,MD,MD,A - Marked Patrol,Warning
17214,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,No,No,No,No,No,VA,02 - Automobile,1994.0,TOYOTA,CAMRY,TAN,16303f,No,HISPANIC,M,WOODBRIDGE,VA,XX,A - Marked Patrol,Citation
5949,FAILURE YIELD RIGHT OF WAY ON U TURN,No,No,No,No,No,MD,02 - Automobile,2001.0,NISSAN,XTERRA,BLACK,21402b,No,HISPANIC,M,ADELPHI,MD,XX,A - Marked Patrol,Citation
20876,EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 45 MPH ZONE,No,No,No,No,No,VA,02 - Automobile,2016.0,MERCEDESBENZ,C300,BLUE,218011,No,OTHER,M,GREAT FALLS,VA,VA,Q - Marked Laser,Citation
11516,POSSESSING MORE THAN ONE DRIVERS LICENSE AT ANY ONE TIME,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKSWAGON,GOLF GTI,GRAY,161111f,No,WHITE,M,NORTH POTOMAC,MD,MD,Q - Marked Laser,Citation
11494,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,CAMRY,BLUE DARK,13409b,No,WHITE,F,CORNELL,MI,MI,A - Marked Patrol,Citation
20147,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,1999.0,FORD,EXPLORER,WHITE,16303h,No,HISPANIC,M,ADELPHI,MD,MD,A - Marked Patrol,Citation
31797,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Yes,No,No,No,No,MD,02 - Automobile,1998.0,FORD,SW,WHITE,16101a,No,BLACK,M,POTOMAC,MD,MD,B - Unmarked Patrol,Citation
2967,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2010.0,LEXUS,4DR,BLACK,222011,No,BLACK,F,COCKEYSVILLE,MD,MD,A - Marked Patrol,Citation
4748,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,VA,02 - Automobile,2005.0,CHRYSLER,300,WHITE,16112c,No,BLACK,M,HANOVER,MD,FL,A - Marked Patrol,Citation
58119,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,08 - Recreational Vehicle,1994.0,FORD,EXPLORER,RED,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
50131,DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,VA,02 - Automobile,2002.0,HONDA,CIVIC,TAN,23104,No,BLACK,M,WOODBRIDGE,VA,VA,A - Marked Patrol,Warning
16048,EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2013.0,DODGE,CHARGER,WHITE,218011,No,BLACK,F,CLARKSBURG,MD,MD,Q - Marked Laser,Citation
53003,OPERATING MOTOR VEHICLE WITH UNDERINFLATED TIRE,No,No,No,No,Yes,MD,05 - Light Duty Truck,1999.0,FORD,TK,WHITE,1139375h1,No,HISPANIC,M,BERWYN HEIGHTS,MD,MD,A - Marked Patrol,Warning
65110,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,SIENNA,SILVER,22226a,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,Warning
28178,DRIVER SENDING A TEXT MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,MAXIMA,GRAY,2111241b,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
35416,HEADLIGHTS,No,No,No,No,No,MD,02 - Automobile,2013.0,FORD,4S,BLACK,55,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
62483,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2004.0,MITS,4S,GREEN,13401h,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
14262,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,RAV4,GRAY,16303h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
6731,EXCEEDING MAXIMUM SPEED 42 MPH IN A POSTED 25 MPH ZONE,Yes,No,No,No,No,DC,02 - Automobile,2010.0,HONDA,CIVIC,GRAY,218011,No,WHITE,F,WASHINGTON,DC,DC,Q - Marked Laser,Citation
57746,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2015.0,LEXS,4S,BLACK,13411d,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
53974,DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2001.0,CHEVY,PREIZM,SILVER,21707a,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
5699,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED PROPERTY DAMAGE ACCIDENT,No,No,No,No,No,MD,02 - Automobile,2001.0,SUBURU,LEGACY,GOLD,20105a,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
26382,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,1994.0,HONDA,ACCORD,BLUE,16116a,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
23328,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 45 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,4DR,SILVER,218011,No,ASIAN,M,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
66184,DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2015.0,CHEVY,VAN,RED,21202h1,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Warning
18077,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 45 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2010.0,KIA,FORTE,WHITE,218011,No,HISPANIC,M,LAUREL,MD,MD,Q - Marked Laser,Citation
16371,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,01 - Motorcycle,2004.0,TOYT,COROLLA,GRAY,16112c,No,BLACK,F,TEMPLE HILLS,MD,MD,A - Marked Patrol,Citation
21545,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,BLACK,16101a,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
39687,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2004.0,HONDA,ACCORD,SILVER,21502a2,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
16517,POSSESSING SUSPENDED LIC,No,No,No,No,No,MD,02 - Automobile,2015.0,CHRYSLER,4D,BLUE LIGHT,16301j,No,BLACK,M,NEW CARROLLTON,MD,MD,A - Marked Patrol,Citation
15368,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2009.0,NISSAN,ALTIMA,GRAY,224123b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
860,DRIVING A MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,ODYSSEY,GRAY,16101a,No,OTHER,F,OLNEY,MD,MD,A - Marked Patrol,Citation
50076,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKS,4D,SILVER,13409b,No,BLACK,M,DISTRICT HEIGHTS,MD,MD,A - Marked Patrol,Warning
64501,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,No,No,No,No,No,MD,02 - Automobile,1995.0,TOYOTA,4S,SILVER,21502a2,No,ASIAN,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,Warning
43955,PEDESTRIAN UNSAFELY CROSSING IN PATH OF VEH,No,No,No,Yes,No,XX,29 - Unknown,,,,,21502b,No,BLACK,F,WHEATON,MD,MD,A - Marked Patrol,Warning
4499,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEV,TK,GRAY,218011,No,HISPANIC,F,SILVER SPRING,MD,MD,E - Marked Stationary Radar,Citation
55622,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,No,No,No,No,No,MD,02 - Automobile,2014.0,DODGE,AVENGER,BLUE DARK,21801a,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
5895,EXCEEDING MAXIMUM SPEED 61 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2008.0,NISSAN,VERSA,SILVER,218011,No,BLACK,F,GERMANTOWN,MD,MD,G - Marked Moving Radar (Stationary),Citation
27464,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2002.0,VOLK,4S,BLACK,218011,No,HISPANIC,F,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
26263,OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2004.0,BMW,X3 SUV,SILVER,13401b,No,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,Citation
17568,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,CRV,SILVER,21902a1,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
50905,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2017.0,FORD,FOCUS,SILVER,21201a1,No,BLACK,M,VIRGINIA BEACH,VA,VA,A - Marked Patrol,Warning
21330,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,COROLLA,WHITE,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
19541,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2000.0,VOLV,4S,SILVER,13401h,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
21243,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2005.0,SCION,TC,BLACK,16112c,No,ASIAN,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
51379,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,MD,02 - Automobile,2013.0,DODGE,TRUCK,SILVER,13411c1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
53579,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,02 - Automobile,2001.0,HYUNDAI,ACCENT,SILVER,218011,No,BLACK,M,MONTGOMERY VILLAGE,MD,XX,Q - Marked Laser,Warning
3748,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,GREEN DK,21902a1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
44030,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,CIVIC,SILVER,21201a1,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
43076,POSSESSING MORE THAN ONE DRIVERS LICENSE AT ANY ONE TIME,No,No,No,No,No,MD,05 - Light Duty Truck,2011.0,FORD,F350,WHITE,161111f,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
39205,MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT,No,No,No,Yes,No,MD,02 - Automobile,2008.0,TOYT,2S,BLACK,22206a,No,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
35611,STOP LIGHTS,No,No,No,No,No,MD,02 - Automobile,2003.0,DODGE,TRUCK,RED,64,No,BLACK,M,CAPITOL HEIGHTS,MD,MD,A - Marked Patrol,SERO
68274,UNSAFE PASSING TO RIGHT OF OVERTAKEN VEH,No,No,No,No,No,MD,05 - Light Duty Truck,2002.0,TOYT,TUNDRA,GRAY,21304b,No,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Warning
37308,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1996.0,TOYOTA,COROLLA,GOLD,21201a1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
54888,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,SUV,BLACK,222011,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
1081,OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,NC,02 - Automobile,2001.0,MERCEDS,4D,MAROON,224123b,No,BLACK,F,CHARLOTTE,NC,NC,A - Marked Patrol,Citation
6295,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,19 - Moped,2017.0,BOOM,BD50QT26A,WHITE,16112c,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
49465,PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,No,No,No,No,No,MD,02 - Automobile,1997.0,MITSUBISHI,MIRAGE,BLUE LIGHT,211003aa,No,OTHER,M,SILVER SPRING,MD,MD,M - Marked (Off-Duty),Warning
32863,TAILLIGHTS,No,No,No,No,No,MD,05 - Light Duty Truck,2005.0,TOYT,TK,WHITE,56,No,WHITE,M,SILVER SPRING,MS,MD,A - Marked Patrol,SERO
51459,FAILURE YIELD RIGHT OF WAY ON U TURN,No,No,No,No,No,MD,02 - Automobile,1996.0,HONDA,CIVIC,GREEN DK,21402b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
69748,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2003.0,CHEVY,TAHOE,TAN,13409b,No,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,Warning
63074,DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT,No,No,No,No,No,MD,02 - Automobile,1996.0,HOND,4S,SILVER,23104,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Warning
11493,HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,CAMRY,BLACK,16105b1,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
20491,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2000.0,JAGU,CN,BLUE DARK,16101a,No,WHITE,M,POTOMAC,MD,MD,S - License Plate Recognition,Citation
40280,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,No,No,No,No,No,MD,01 - Motorcycle,2011.0,YAMAHA,FZ8,BLACK,218011,No,WHITE,F,MOUNT AIRY,MD,MD,R - Unmarked Laser,Warning
8308,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,CIVIC,RED,13411d,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
6893,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,02 - Automobile,2015.0,HONDA,PILOT,WHITE,219011a,No,WHITE,F,POOLESVILLE,MD,MD,A - Marked Patrol,Citation
34198,Stop Lights,No,No,No,No,No,MD,02 - Automobile,2004.0,MITS,GALANT,GOLD,64,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
24244,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,1998.0,AUDI,A6,BEIGE,16303h,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,Citation
9576,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2015.0,FORD,4S,BLUE,2111242d2,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
4171,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,No,No,No,No,No,MD,02 - Automobile,2002.0,FORD,EXPEDITION,WHITE,21301a,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
6910,FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER,No,No,No,No,No,MD,02 - Automobile,1998.0,FORD,WINDSTAR,WHITE,171042b2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
39382,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2003.0,PONTIAC,4DR,BLACK,13409b,No,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol,Warning
23664,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,SILVER,218011,No,BLACK,F,OAKLAND,CA,CA,Q - Marked Laser,Citation
68034,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,4DR,GRAY,16116a,No,HISPANIC,F,OLNEY,MD,MD,Q - Marked Laser,Warning
39849,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 65,No,No,No,No,No,MD,02 - Automobile,2016.0,BMW,428I,BLACK,21801a,No,WHITE,F,BROOKEVILLE,MD,MD,A - Marked Patrol,Warning
58032,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYT,COROLLA,GRAY,21201a1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
64504,FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,COROLLA,RED,13410e2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Warning
35832,STOP LIGHTS,No,No,No,No,No,MD,02 - Automobile,2003.0,MITSUBISHI,ECLIPSE,BLACK,64,No,HISPANIC,M,GLEN BURNIE,MD,MD,A - Marked Patrol,SERO
37453,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2013.0,VOLK,4S,BLACK,13401h,No,BLACK,M,ADELPHI,MD,MD,B - Unmarked Patrol,Warning
2433,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2016.0,AUDI,SUV,WHITE,218011,No,BLACK,F,LAUREL,MD,MD,Q - Marked Laser,Citation
40031,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,PA,02 - Automobile,1999.0,INFI,4D,GRAY,21201a1,No,BLACK,F,NEW HAVEN,CT,CT,A - Marked Patrol,Warning
21295,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2004.0,SUZUKI,XL7,GREEN LGT,21201a1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
58622,DRIVING VEHICLE ON HIGHWAY ON EXPIRED LICENSE,No,No,No,No,No,MD,02 - Automobile,1991.0,HONDA,CIVIC,BRONZE,16115g,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Warning
14541,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2012.0,ACUR,TL,BLACK,13411f,No,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,Citation
32476,WINDOW TINT,No,No,No,No,No,MD,02 - Automobile,2004.0,TOYO,4RUNNER,WHITE,61,No,OTHER,F,SILVER SPRING,MD,MD,A - Marked Patrol,SERO
9692,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 45 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYT,4D,GREEN,218011,No,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
12043,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2014.0,KIA,SOUL,GRAY,21902a1,No,BLACK,M,LANSDOWNE,MD,MD,A - Marked Patrol,Citation
